"Education","Gross Household Income","Skill","Age","Marrital Status","Country","Gender","WeightedAIS","Vote"
"17-19","Level 2 20~39k","Level 7","Age66-85","Married","Wales","Male",-0.114545024884288,0
"20 or above","Level 2 20~39k","Level 6","Age46-65","Single","England","Male",-0.306659789555681,1
"16 or under","Level 1 0~19k","Level 6","Age66-85","Married","England","Male",0.6636198,1
"16 or under","Level 3 40~59k","Level 5","Age46-65","Married","England","Female",-0.339798773245775,0
"16 or under","Level 2 20~39k","Level 2","Age46-65","Single","England","Male",0.351171838989224,1
"16 or under","Level 2 20~39k","Level 3","Age46-65","Married","England","Male",0.576957828168066,1
"16 or under","Level 2 20~39k","Level 1","Age46-65","Single","England","Male",-0.0765805561682,1
"20 or above","Level 5 100k or above","Level 7","Age46-65","Married","England","Male",-0.817672896166853,0
"16 or under","Level 3 40~59k","Level 5","Age46-65","Married","England","Male",0.190470597729306,1
"16 or under","Level 1 0~19k","Level 4","Age46-65","Single","England","Male",0.207781244888555,1
"16 or under","Level 2 20~39k","Level 5","Age46-65","Married","England","Female",-0.133492583600318,1
"20 or above","Level 3 40~59k","Level 5","Age36-45","Married","England","Female",-0.17269690742643,0
"20 or above","Level 2 20~39k","Level 5","Age36-45","Single","Scotland","Male",0.0473697750769584,1
"20 or above","Level 2 20~39k","Level 6","Age36-45","Single","Wales","Male",0.204111239191116,0
"16 or under","Level 3 40~59k","Level 5","Age46-65","Married","Scotland","Female",-0.0965256479036459,0
"17-19","Level 1 0~19k","Level 5","Age46-65","Single","England","Male",0.322224054300668,1
"16 or under","Level 3 40~59k","Level 3","Age46-65","Married","England","Female",0.155269153592998,1
"20 or above","Level 2 20~39k","Level 6","AgeOver85","Single","Scotland","Male",-0.244932847189035,0
"17-19","Level 3 40~59k","Level 2","AgeOver85","Single","Scotland","Male",-0.32681922140625,0
"20 or above","Level 4 60~99k","Level 8","Age46-65","Married","England","Male",-0.0597871029379932,0
"17-19","Level 2 20~39k","Level 8","Age46-65","Single","England","Female",0.8425779049514,1
"17-19","Level 1 0~19k","Level 6","Age66-85","Single","England","Female",-0.352040577878361,0
"16 or under","Level 2 20~39k","Level 6","Age66-85","Single","England","Female",0,1
"17-19","Level 4 60~99k","Level 7","Age46-65","Married","Scotland","Male",-0.106057561443954,0
"20 or above","Level 4 60~99k","Level 8","AgeOver85","Single","England","Male",-2.69304486904038,0
"20 or above","Level 4 60~99k","Level 6","Age36-45","Married","England","Female",-0.36826005,0
"17-19","Level 1 0~19k","Level 2","Age46-65","Single","England","Female",2.52412079909574,1
"20 or above","Level 2 20~39k","Level 7","Age46-65","Married","England","Female",-0.153224643100644,0
"16 or under","Level 1 0~19k","Level 6","Age66-85","Married","Scotland","Male",0.340987948431618,1
"16 or under","Level 2 20~39k","Level 6","Age46-65","Married","England","Female",0.481166277977312,1
"20 or above","Level 3 40~59k","Level 6","AgeOver85","Single","England","Female",-0.128043776866179,0
"20 or above","Level 2 20~39k","Level 7","Age66-85","Married","England","Male",0.625850441791695,1
"16 or under","Level 1 0~19k","Level 2","Age66-85","Married","England","Female",0.461961308032457,1
"16 or under","Level 1 0~19k","Level 1","Age46-65","Single","Scotland","Male",0.0819041170142737,1
"16 or under","Level 2 20~39k","Level 6","Age66-85","Married","England","Male",0.14358522233709,1
"16 or under","Level 1 0~19k","Level 4","Age46-65","Married","England","Male",0.566081235982,0
"17-19","Level 2 20~39k","Level 6","Age66-85","Married","England","Female",0.0258145821844308,1
"16 or under","Level 3 40~59k","Level 5","Age66-85","Married","England","Female",-0.296787631501013,0
"16 or under","Level 1 0~19k","Level 1","Age66-85","Married","England","Female",1.938313755889,1
"20 or above","Level 4 60~99k","Level 7","Age36-45","Single","England","Female",-0.396669931069929,0
"20 or above","Level 3 40~59k","Level 6","Age36-45","Married","England","Male",0.0487606491969387,1
"16 or under","Level 2 20~39k","Level 1","Age46-65","Married","England","Female",1.39828577314134,1
"17-19","Level 1 0~19k","Level 5","Age36-45","Single","Wales","Female",-0.203920974859327,0
"20 or above","Level 2 20~39k","Level 6","Age46-65","Married","England","Male",0.108756875945516,1
"20 or above","Level 2 20~39k","Level 6","Age66-85","Married","Wales","Male",0.0744474803743041,1
"17-19","Level 5 100k or above","Level 6","Age66-85","Married","England","Female",0.381697058302391,1
"20 or above","Level 4 60~99k","Level 6","Age66-85","Married","England","Female",-0.122252433368263,0
"20 or above","Level 2 20~39k","Level 4","Age66-85","Married","England","Male",0.33426310416529,1
"16 or under","Level 2 20~39k","Level 7","Age46-65","Married","England","Male",-0.1725244,1
"16 or under","Level 3 40~59k","Level 5","Age46-65","Married","England","Female",0.33026484631322,0
"20 or above","Level 2 20~39k","Level 6","Age66-85","Married","England","Female",-0.0975917693195683,0
"20 or above","Level 2 20~39k","Level 5","AgeOver85","Single","England","Female",-1.17351866630558,0
"17-19","Level 2 20~39k","Level 6","Age36-45","Single","England","Female",0.444952381317999,0
"16 or under","Level 1 0~19k","Level 3","Age66-85","Married","England","Male",0.82360864587803,1
"20 or above","Level 2 20~39k","Level 7","Age66-85","Married","England","Male",0.306587223808351,1
"16 or under","Level 2 20~39k","Level 6","Age46-65","Single","England","Female",0.0881488734829464,0
"20 or above","Level 2 20~39k","Level 2","AgeOver85","Married","Scotland","Female",-0.0375436544998779,1
"20 or above","Level 4 60~99k","Level 4","Age36-45","Married","England","Female",0.140804018132407,0
"17-19","Level 2 20~39k","Level 6","Age66-85","Married","England","Female",-0.35405981330279,0
"20 or above","Level 5 100k or above","Level 6","AgeOver85","Married","England","Male",-0.327989524694244,0
"17-19","Level 2 20~39k","Level 5","Age46-65","Married","England","Female",-0.148956593131531,1
"20 or above","Level 4 60~99k","Level 7","Age46-65","Married","England","Male",0.530690223339368,1
"17-19","Level 1 0~19k","Level 5","Age46-65","Single","England","Male",-0.513730933590199,0
"20 or above","Level 2 20~39k","Level 6","AgeOver85","Single","England","Male",-0.710822933422186,0
"20 or above","Level 4 60~99k","Level 7","Age46-65","Married","England","Male",-0.284172247622789,0
"16 or under","Level 1 0~19k","Level 3","Age66-85","Single","England","Female",0.994217323287101,1
"20 or above","Level 4 60~99k","Level 6","Age46-65","Married","England","Male",0.501684226612145,0
"20 or above","Level 2 20~39k","Level 6","Age19-35","Single","England","Female",-1.73906021979539,0
"20 or above","Level 3 40~59k","Level 6","Age66-85","Married","England","Female",0.0742385156456498,1
"17-19","Level 3 40~59k","Level 6","Age36-45","Married","England","Female",1.44454828706253,1
"20 or above","Level 4 60~99k","Level 5","AgeOver85","Married","England","Male",-0.569590074972619,0
"20 or above","Level 2 20~39k","Level 6","AgeOver85","Single","Scotland","Female",0.0688345376053573,1
"16 or under","Level 1 0~19k","Level 3","Age66-85","Single","England","Male",1.23095304032373,1
"16 or under","Level 1 0~19k","Level 4","Age46-65","Single","England","Male",1.03583919337743,1
"16 or under","Level 1 0~19k","Level 3","Age66-85","Married","Wales","Male",0.734720853732145,1
"17-19","Level 2 20~39k","Level 6","Age66-85","Married","Scotland","Male",-0.0261338667189344,1
"20 or above","Level 1 0~19k","Level 2","AgeOver85","Single","England","Female",0.467066666992408,0
"17-19","Level 2 20~39k","Level 2","Age46-65","Single","England","Female",0.187775667042218,1
"16 or under","Level 2 20~39k","Level 6","Age46-65","Married","England","Female",0.319289937237401,1
"20 or above","Level 1 0~19k","Level 8","Age66-85","Single","England","Female",0.778162164978089,1
"16 or under","Level 1 0~19k","Level 1","Age66-85","Married","England","Female",0.173748640156871,1
"20 or above","Level 2 20~39k","Level 6","Age46-65","Married","England","Male",-0.300672034761178,0
"20 or above","Level 5 100k or above","Level 8","Age46-65","Married","England","Male",-0.0830062968491557,0
"20 or above","Level 2 20~39k","Level 6","Age46-65","Single","England","Female",-0.450494239028605,0
"20 or above","Level 2 20~39k","Level 6","Age46-65","Single","England","Female",0.190978129911776,0
"16 or under","Level 2 20~39k","Level 3","Age46-65","Married","England","Male",2.07918154526723,0
"17-19","Level 3 40~59k","Level 2","Age46-65","Single","England","Female",-0.486892251151338,0
"17-19","Level 1 0~19k","Level 5","Age46-65","Married","England","Female",0.219254592784546,1
"16 or under","Level 1 0~19k","Level 6","Age36-45","Married","England","Male",0.739719963301398,1
"17-19","Level 1 0~19k","Level 2","Age66-85","Single","England","Female",0.465774779268976,1
"20 or above","Level 2 20~39k","Level 6","Age46-65","Married","England","Male",-0.222947344751977,0
"16 or under","Level 1 0~19k","Level 1","Age46-65","Single","England","Male",-2.18349915890012,0
"20 or above","Level 2 20~39k","Level 6","AgeOver85","Married","England","Male",5.71641931949666,1
"16 or under","Level 1 0~19k","Level 4","Age46-65","Married","Scotland","Female",0.0965202663983082,1
"16 or under","Level 1 0~19k","Level 5","Age66-85","Married","Wales","Male",-0.181213055454105,0
"16 or under","Level 2 20~39k","Level 6","Age46-65","Married","England","Male",0.123689790349762,0
"16 or under","Level 1 0~19k","Level 5","Age46-65","Married","Wales","Female",-0.034893927978074,0
"16 or under","Level 2 20~39k","Level 1","Age46-65","Married","England","Male",0.43892408862353,1
"17-19","Level 3 40~59k","Level 6","Age46-65","Single","Wales","Male",0.379573958984716,0
"20 or above","Level 2 20~39k","Level 5","Age36-45","Single","England","Male",0.408286572170191,1
